"Date","final_score"
"2015-02-19",-0.014
"2015-04-02",0.004
"2015-05-21",0.008
"2015-07-02",0.01
"2015-08-13",0.006
"2015-10-08",-0.004
"2015-11-19",0.004
"2016-01-14",0.001
"2016-02-18",-0.01
"2016-04-07",-0.009
"2016-05-19",-0.003
"2016-07-07",0.013
"2016-08-18",0.004
"2016-10-06",0.003
"2016-11-17",0.008
"2017-01-12",0.011
"2017-02-16",0.018
"2017-04-06",0.017
"2017-05-18",0.012
"2017-07-06",0.02
"2017-08-17",0.018
"2017-10-05",0.016
"2017-11-23",0.031
"2018-01-11",0.021
"2018-02-22",0.034
"2018-04-12",0.029
"2018-05-24",0.004
"2018-07-12",0.022
"2018-08-23",0.013
"2018-10-11",0.019
"2018-11-22",0.023
"2019-01-10",0.003
"2019-02-21",-0.001
"2019-04-04",-0.002
"2019-05-23",0.004
"2019-07-11",-0.008
"2019-08-22",0.003
"2019-10-10",-0.007
"2019-11-21",0.003
"2020-01-16",0.004
"2020-02-20",-0.001
"2020-04-09",-0.012
"2020-04-10",-0.005
"2020-05-22",-0.006
"2020-06-25",-0.001
"2020-08-20",0
"2020-10-08",-0.009
"2020-11-26",-0.011
"2021-01-14",-0.003
"2021-02-18",0.006
"2021-04-08",0.015
"2021-05-14",0.024
"2021-07-09",0.022
"2021-07-29",0.005
"2021-08-26",0.005
"2021-10-07",0.02
"2021-11-25",0.028
"2022-01-20",0.012
"2022-03-03",0.025
"2022-04-07",0.019
"2022-05-19",0.034
"2022-07-07",0.025
"2022-08-25",0.02
"2022-10-06",0.024
"2022-11-24",0.024
"2023-03-02",0.011
"2023-04-20",0.017
"2023-06-01",0.02
"2023-07-13",0.018
"2023-08-31",0.006
"2023-10-12",0.01
"2023-11-23",0.002
"2024-01-18",0.002
"2024-01-19",0.017
"2024-02-22",-0.005
"2024-04-04",0.003
"2024-05-10",0.007
"2024-07-04",0.009
"2024-08-22",0.015
